Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2011,Male,15 years old and over,-,-,37.29,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2011,Both sexes,15 years old and over,-,-,31.74,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2014,Female,15 years old and over,-,-,26.45,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2014,Male,15 years old and over,-,-,35.37,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2014,Both sexes,15 years old and over,-,-,30.99,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2017,Female,15 years old and over,-,-,35.84,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2017,Male,15 years old and over,-,-,64.59,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2017,Both sexes,15 years old and over,-,-,50.05,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,64,Bhutan,2014,Female,15 years old and over,-,-,27.68,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,64,Bhutan,2014,Male,15 years old and over,-,-,38.99,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,64,Bhutan,2014,Both sexes,15 years old and over,-,-,33.67,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2011,Female,15 years old and over,-,-,67.24,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2011,Male,15 years old and over,-,-,69.99,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2011,Both sexes,15 years old and over,-,-,68.53,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2014,Female,15 years old and over,-,-,83.11,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2014,Male,15 years old and over,-,-,82.23,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2014,Both sexes,15 years old and over,-,-,82.69,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2017,Female,15 years old and over,-,-,73.44,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2017,Male,15 years old and over,-,-,73.89,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,144,Sri Lanka,2017,Both sexes,15 years old and over,-,-,73.65,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2011,Female,15 years old and over,-,-,26.49,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2011,Male,15 years old and over,-,-,43.74,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2011,Both sexes,15 years old and over,-,-,35.23,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2014,Female,15 years old and over,-,-,43.13,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2014,Male,15 years old and over,-,-,62.76,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2014,Both sexes,15 years old and over,-,-,53.14,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2017,Female,15 years old and over,-,-,76.64,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2017,Male,15 years old and over,-,-,83.01,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,356,India,2017,Both sexes,15 years old and over,-,-,79.88,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2011,Female,15 years old and over,-,-,61.88,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2011,Male,15 years old and over,-,-,85.17,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2011,Both sexes,15 years old and over,-,-,73.68,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2014,Female,15 years old and over,-,-,87.32,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2014,Male,15 years old and over,-,-,97.14,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2014,Both sexes,15 years old and over,-,-,92.28,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2017,Female,15 years old and over,-,-,91.61,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2017,Male,15 years old and over,-,-,96.45,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,364,Iran (Islamic Republic of),2017,Both sexes,15 years old and over,-,-,93.98,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2011,Female,15 years old and over,-,-,21.22,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2011,Male,15 years old and over,-,-,29.56,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2011,Both sexes,15 years old and over,-,-,25.31,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2014,Female,15 years old and over,-,-,31.27,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2014,Male,15 years old and over,-,-,36.72,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2014,Both sexes,15 years old and over,-,-,33.8,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2017,Female,15 years old and over,-,-,41.6,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2017,Male,15 years old and over,-,-,49.98,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,524,Nepal,2017,Both sexes,15 years old and over,-,-,45.39,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2011,Female,15 years old and over,-,-,2.95,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2011,Male,15 years old and over,-,-,17.28,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2011,Both sexes,15 years old and over,-,-,10.31,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2014,Female,15 years old and over,-,-,4.84,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2014,Male,15 years old and over,-,-,20.97,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2014,Both sexes,15 years old and over,-,-,13.04,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2017,Female,15 years old and over,-,-,7.03,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2017,Male,15 years old and over,-,-,34.61,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,586,Pakistan,2017,Both sexes,15 years old and over,-,-,21.29,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2011,Female,15 years old and over,-,-,22.67,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2011,Male,15 years old and over,-,-,33.66,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2011,Both sexes,15 years old and over,-,-,28.27,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2014,Female,15 years old and over,-,-,33.59,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2014,Male,15 years old and over,-,-,42.52,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2014,Both sexes,15 years old and over,-,-,37.99,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2017,Female,15 years old and over,-,-,38.1,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2017,Male,15 years old and over,-,-,42.04,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,8,Albania,2017,Both sexes,15 years old and over,-,-,40.02,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2011,Female,15 years old and over,-,-,98.59,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2011,Male,15 years old and over,-,-,99.59,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2011,Both sexes,15 years old and over,-,-,99.06,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2014,Female,15 years old and over,-,-,99.04,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2014,Male,15 years old and over,-,-,98.67,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2014,Both sexes,15 years old and over,-,-,98.86,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2017,Female,15 years old and over,-,-,99.2,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2017,Male,15 years old and over,-,-,99.85,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,36,Australia,2017,Both sexes,15 years old and over,-,-,99.52,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2011,Female,15 years old and over,-,-,96.56,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2011,Male,15 years old and over,-,-,97.74,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2011,Both sexes,15 years old and over,-,-,97.08,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2014,Female,15 years old and over,-,-,97.37,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2014,Male,15 years old and over,-,-,96.06,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2014,Both sexes,15 years old and over,-,-,96.73,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2017,Female,15 years old and over,-,-,98.38,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2017,Male,15 years old and over,-,-,97.93,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,40,Austria,2017,Both sexes,15 years old and over,-,-,98.16,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2011,Female,15 years old and over,-,-,97.18,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2011,Male,15 years old and over,-,-,95.3,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2011,Both sexes,15 years old and over,-,-,96.31,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2014,Female,15 years old and over,-,-,99.51,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2014,Male,15 years old and over,-,-,96.69,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2014,Both sexes,15 years old and over,-,-,98.13,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2017,Female,15 years old and over,-,-,98.82,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2017,Male,15 years old and over,-,-,98.45,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,56,Belgium,2017,Both sexes,15 years old and over,-,-,98.64,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2011,Female,15 years old and over,-,-,47.72,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2011,Male,15 years old and over,-,-,67.23,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2011,Both sexes,15 years old and over,-,-,56.21,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2014,Female,15 years old and over,-,-,47.06,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2014,Male,15 years old and over,-,-,58.82,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2014,Both sexes,15 years old and over,-,-,52.69,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2017,Female,15 years old and over,-,-,54.74,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2017,Male,15 years old and over,-,-,63.18,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,70,Bosnia and Herzegovina,2017,Both sexes,15 years old and over,-,-,58.84,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2011,Female,15 years old and over,-,-,55.45,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2011,Male,15 years old and over,-,-,49.9,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2011,Both sexes,15 years old and over,-,-,52.82,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2014,Female,15 years old and over,-,-,63.16,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2014,Male,15 years old and over,-,-,62.8,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2014,Both sexes,15 years old and over,-,-,62.99,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2017,Female,15 years old and over,-,-,73.64,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2017,Male,15 years old and over,-,-,70.62,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,100,Bulgaria,2017,Both sexes,15 years old and over,-,-,72.2,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,112,Belarus,2011,Female,15 years old and over,-,-,58.07,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,112,Belarus,2011,Male,15 years old and over,-,-,59.24,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Developed regions,112,Belarus,2011,Both sexes,15 years old and over,-,-,58.6,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
