Country,Country.Code,HH.Radio,HH.Radio.Year,HH.TV,HH.TV.Year,HH.FixedTel,HH.FixedTel.Year,HH.Mobile,HH.Mobile.Year,HH.Computer,HH.Computer.Year,HH.Internet,HH.Internet.Year,IDV.Computer,IDV.Computer.Year,IDV.Internet,IDV.Internet.Year,IDV.Mobile,IDV.Mobile.Year
Ukraine,804,1,2018,94.7,2018,23.8,2017,96.5,2017,62.3,2018,61.9,2018,,,62.6,2018,,
United Arab Emirates,784,18.2,2018,94.3,2018,83,2018,100,2018,95.4,2018,98.4,2018,100,2018,98.5,2018,100,2018
United Kingdom,826,,,,,,,,,,,,,90.2,2015,94.9,2018,,
United States,840,,,,,,,,,92,2018,62.7,2018,,,87.3,2017,,
Uruguay,858,79.5,2018,96.6,2018,62.8,2018,94.8,2018,69.1,2018,66.2,2018,54.4,2018,74.8,2018,76.7,2018
Uzbekistan,860,20.8,2018,100,2018,,,,,39.9,2018,80.4,2018,49.7,2018,55.2,2018,93.5,2018
Vanuatu,548,,,,,,,,,,,,,,,,,,
Vatican,336,,,,,,,,,,,,,,,,,,
Venezuela,862,,,,,,,,,,,,,,,72,2017,,
Viet Nam,704,,,,,,,,,32.9,2018,47.1,2018,,,70.3,2018,,
Yemen,887,,,,,,,,,,,,,,,,,,
Zambia,894,,,,,,,,,8.1,2018,17.7,2018,,,14.3,2018,,
Zimbabwe,716,,,,,,,,,,,,,,,,,,
